Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
6844037;11656201;11494583;2;KU;24;M; ;0;ei henkilövahinkoa;SF ;B           ;7
6844040;11656211;11494596;1;KU;85;M; ;0;ei henkilövahinkoa;SF ;AB          ;
6844040;11656211;11494597;1;MA;25;M; ;0;ei henkilövahinkoa;SF ;            ;
6844041;11656212;11494598;1;KU;67;M; ;0;ei henkilövahinkoa;SF ;ABE         ;46
6844041;11656212;11494599;1;MA;76;N; ;0;ei henkilövahinkoa;SF ;            ;
6844041;11656213;11494600;2;KU;17;N; ;L;loukkaantunut;SF ;            ;2
6844042;11656445;11494883;1;KU;78;M; ;0;ei henkilövahinkoa;SF ;            ;45
6844042;11656446;11494884;2;KU;43;M; ;0;ei henkilövahinkoa;SF ;ABE         ;26
6866539;11656447;11494885;1;KU;18;M; ;0;ei henkilövahinkoa;SF ;            ;3
6866539;11656448;11494886;2;KU;81;N; ;0;ei henkilövahinkoa;SF ;            ;28
6839574;11656449;11494887;1;KU;31;M; ;L;loukkaantunut;COD;B           ;0
6839574;11656449;11494888;1;MA;21;M; ;L;loukkaantunut;COD;            ;
6839574;11656449;11494889;1;MA;3;M; ;L;loukkaantunut;COD;            ;
6839574;11656449;11494890;1;MA;25;M; ;L;loukkaantunut;COD;            ;
6839574;11656449;11494891;1;MA;66;M; ;L;loukkaantunut;COD;            ;
6842927;11656450;11494892;1;KU;19;M; ;0;ei henkilövahinkoa;SF ;            ;
6868966;11656451;11494893;1;KU;51;M; ;0;ei henkilövahinkoa;SF ;ABC         ;32
6868966;11656452;11494894;2;KU;21;M; ;0;ei henkilövahinkoa;SF ;B           ;3
6842098;11656453;11494895;1;KU;56;M; ;0;ei henkilövahinkoa;SF ;            ;38
6842098;11656453;11494896;1;MA;;M; ;0;ei henkilövahinkoa;SF ;            ;
6842098;11656454;11494897;2;JK;16;N; ;L;loukkaantunut;   ;            ;
6880699;11656462;11494906;1;KU;20;N; ;L;loukkaantunut;SF ;B           ;2
6880699;11656463;11494907;2;KU;68;N; ;0;ei henkilövahinkoa;SF ;ABE         ;31
6844818;11656464;11494908;1;KU;19;N; ;0;ei henkilövahinkoa;   ;B           ;
6844818;11656465;11494909;2;KU;52;M; ;0;ei henkilövahinkoa;SF ;            ;28
6844833;11656466;11494910;1;KU;72;N; ;0;ei henkilövahinkoa;   ;AB          ;34
6844833;11656467;11494911;2;KU;71;M; ;0;ei henkilövahinkoa;SF ;            ;43
6891574;11656468;11494912;1;KU;70;M; ;0;ei henkilövahinkoa;SF ;AM          ;
6891574;11656469;11494913;2;KU;78;N; ;0;ei henkilövahinkoa;SF ;AB          ;44
6789681;11656473;11494918;1;KU;35;M;O;L;loukkaantunut;   ;EI          ;
6789681;11656473;11494919;1;MA;32;N; ;L;loukkaantunut;   ;            ;
6810974;11656486;11494933;1;KU;47;M; ;0;ei henkilövahinkoa;   ;ABEC        ;
6842852;11656487;11494934;1;KU;59;M; ;0;ei henkilövahinkoa;SF ;AB          ;41
6842852;11656488;11494935;2;KU;39;N; ;0;ei henkilövahinkoa;SF ;AB          ;5
6768038;11656489;11494936;1;KU;68;M; ;0;ei henkilövahinkoa;   ;ABE         ;45
6768038;11656490;11494937;2;KU;53;N; ;L;loukkaantunut;SF ;AB          ;36
6810164;11656491;11494938;1;KU;74;M; ;0;ei henkilövahinkoa;SF ;AB          ;43
6810164;11656492;11494939;2;XX;; ; ;-;NA;   ;            ;
6810164;11656493;11494940;3;KU;19;N; ;0;ei henkilövahinkoa;SF ;            ;
6810165;11656494;11494941;1;KU;18;M; ;0;ei henkilövahinkoa;SF ;BC          ;
6810165;11656494;11494942;1;MA;18;M; ;0;ei henkilövahinkoa;SF ;            ;
6810166;11656495;11494943;1;KU;28;M; ;L;loukkaantunut;   ;B           ;10
6868432;11656714;11494954;1;KU;31;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;13
6868432;11656715;11494955;2;KU;33;M; ;0;ei henkilövahinkoa;SF ;B           ;15
6813314;11656718;11494959;1;KU;37;N; ;0;ei henkilövahinkoa;SF ;ABEC        ;20
6813314;11656719;11494960;2;KU;21;M; ;0;ei henkilövahinkoa;COD;B           ;
6813187;11656722;11494963;1;KU;20;M; ;0;ei henkilövahinkoa;SF ;B           ;2
6813187;11656723;11494964;2;KU;15;M; ;L;loukkaantunut;SF ;            ;1
6843023;11656724;11494965;1;KU;24;N; ;0;ei henkilövahinkoa;SF ;B           ;
6843023;11656724;11495230;1;MA;20;N; ;0;ei henkilövahinkoa;   ;            ;
6844857;11656737;11495249;1;KU;72;M; ;0;ei henkilövahinkoa;SF ;            ;44
6844857;11656738;11495250;2;KU;74;M; ;L;loukkaantunut;SF ;            ;40
6891487;11656743;11495255;1;KU;47;M; ;L;loukkaantunut;SF ;AB          ;29
6891487;11656744;11495256;2;KU;65;N; ;L;loukkaantunut;SF ;AB          ;47
6891487;11656744;11495257;2;MA;79;N; ;L;loukkaantunut;SF ;            ;
6866544;11656745;11495258;1;KU;31;N; ;0;ei henkilövahinkoa;SF ;B           ;13
6866544;11656746;11495259;2;KU;15;M; ;L;loukkaantunut;SF ;M           ;1
6844858;11656764;11495283;1;KU;18;M; ;0;ei henkilövahinkoa;SF ;B           ;
6866550;11656767;11495286;1;KU;69;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;46
6866550;11656767;11495287;1;MA;61;N; ;0;ei henkilövahinkoa;SF ;            ;
6866550;11656767;11495288;1;MA;13;N; ;0;ei henkilövahinkoa;SF ;            ;
6866550;11656768;11495289;2;KU;22;N; ;0;ei henkilövahinkoa;SF ;            ;4
6843064;11656770;11495291;1;KU;15;M; ;0;ei henkilövahinkoa;SF ;            ;
6843064;11656770;11495292;1;MA;15;M; ;0;ei henkilövahinkoa;SF ;            ;
6843064;11656771;11495293;2;MA;79;N; ;0;ei henkilövahinkoa;SF ;            ;
6843064;11656771;11495294;2;KU;84;M; ;0;ei henkilövahinkoa;SF ;ABE         ;44
6847991;11656772;11495295;1;KU;85;N; ;0;ei henkilövahinkoa;SF ;            ;45
6847182;11656773;11495296;1;KU;17;M; ;0;ei henkilövahinkoa;SF ;            ;
6847182;11656774;11495297;2;KU;42;M; ;0;ei henkilövahinkoa;SF ;            ;
6810174;11656993;11495307;1;KU;20;M; ;0;ei henkilövahinkoa;SF ;A2BC        ;3
6810174;11656994;11495308;2;KU;44;N; ;L;loukkaantunut;   ;            ;
6767932;11656995;11495309;1;KU;16;N; ;0;ei henkilövahinkoa;SF ;            ;
6767932;11656996;11495310;2;KU;18;M; ;0;ei henkilövahinkoa;SF ;B           ;
6891774;11657005;11495587;1;KU;20;M; ;0;ei henkilövahinkoa;SF ;A1B         ;
6885522;11657006;11495588;1;KU;73;M; ;0;ei henkilövahinkoa;   ;ABEC        ;43
6891706;11657012;11495594;1;KU;18;N; ;L;loukkaantunut;SF ;B           ;0
6891707;11657014;11495596;1;KU;41;M; ;L;loukkaantunut;SF ;            ;24
6891707;11657014;11495597;1;MA;71;N; ;L;loukkaantunut;SF ;            ;
6891707;11657015;11495598;2;KU;33;M; ;L;loukkaantunut;SF ;            ;15
6891707;11657015;11495599;2;MA;31;N; ;L;loukkaantunut;SF ;            ;
6890571;11657018;11495602;1;KU;20;N; ;0;ei henkilövahinkoa;SF ;            ;
6847187;11657019;11495603;1;KU;55;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;38
6847187;11657020;11495604;2;KU;15;M; ;L;loukkaantunut;SF ;MT          ;0
6866551;11657021;11495605;1;KU;19;M; ;0;ei henkilövahinkoa;SF ;            ;
6866551;11657022;11495606;2;KU;15;M; ;0;ei henkilövahinkoa;SF ;            ;
