Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Kuollut;Loukk;Ajoneuvika;Ajoneuvmas
6891694;11657294;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;13;2525
6890583;11657295;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;13;1378
6890583;11657296;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6903336;11657297;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1765
6903336;11657298;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;0;0;19;13700
6890467;11657299;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;4;1485
6890467;11657300;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;19;1470
6892334;11657301;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1565
6892334;11657302;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;12500
6890469;11657306;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1485
6890469;11657307;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;1;0;92
6890471;11657320;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;21;990
6890471;11657321;2;20;kevytmoottoripyörä(<125cc);-1;Ei arvoa;-1;Ei arvoa;0;0;5;128
6867573;11657326;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;0;16;1118
6867573;11657327;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;3;0;1628
6867573;11657328;3;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;13;1860
6892639;11657329;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;20;1440
6892639;11657330;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1694
6880613;11657331;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;2;0;1272
6880613;11657332;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1285
6880613;11657333;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1230
6880613;11657334;4;30;henkilöauto;3;kevytperävaunu;-1;Ei arvoa;0;0;1;1395
6844826;11657337;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;6;1372
6844826;11657338;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1371
6892335;11657559;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;17;1410
6892335;11657560;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6912257;11657561;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;0;0;890
6912257;11657562;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1530
6912257;11657563;3;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1390
6912257;11657564;4;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;0;1;0;12660
6902244;11657565;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;6;1278
6902244;11657566;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6903337;11657569;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;19;1130
6903337;11657570;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;12;1329
6911938;11657571;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6911938;11657572;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6911939;11657573;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;2;0;112
6911940;11657574;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;15;1631
6911940;11657575;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;2;;
6892539;11657576;1;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6892539;11657577;2;31;pakettiauto;3;kevytperävaunu;-1;Ei arvoa;0;0;13;1810
6892540;11657578;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1425
6902709;11657579;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1455
6902709;11657580;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1559
6868444;11657581;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;15;1195
6868444;11657582;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1110
6868445;11657583;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6869699;11657593;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1120
6869699;11657594;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;9;1880
6891583;11657595;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1378
6891583;11657596;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1830
6890482;11657597;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;12;1170
6890482;11657598;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;14;1631
6890483;11657599;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;15;1655
6890483;11657600;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;7;1585
6890483;11657601;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;17;1375
6810201;11657602;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;;;
6803697;11657603;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1125
6891543;11657608;1;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;0;1;2;144
6891543;11657609;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;18;1599
6842880;11657613;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1221
6842880;11657614;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1444
6891544;11657617;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1790
6842005;11657620;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;1;16;85
6842005;11657831;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;13;1712
6911941;11657836;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;0;1530
6911941;11657837;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;22;1120
6919841;11657841;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;7;1311
6919841;11657842;2;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;0;0;2;13000
6884044;11657845;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;3;1045
6884044;11657846;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;1;4;98
6866584;11657847;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;15;1275
6866584;11657848;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;0;1;;
